ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	135 	2.0 	0.008251
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	135 	2.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	135 	2.0 	0.035085
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	135 	2.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	135 	2.0 	0.0133
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	135 	2.0 	0.124815
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	135 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	135 	2.0 	-0.0
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	135 	2.0 	0.031203
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	135 	2.0 	0.754446
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	135 	2.0 	0.032901
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	135 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	135 	2.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	135 	2.0 	-0.0
ABMODEL_GROUP 	srb 	135 	2.0 	-0.0
ABMODEL_GROUP 	sulfox 	135 	2.0 	0.188918
ABMODEL_GROUP 	amo 	135 	2.0 	0.0133
ABMODEL_GROUP 	methox 	135 	2.0 	0.754446
ABMODEL_GROUP 	feo 	135 	2.0 	0.008251
ABMODEL_GROUP 	methanogens 	135 	2.0 	-0.0
ABMODEL_GROUP 	anme 	135 	2.0 	0.035085
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	136 	2.0 	0.008248
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	136 	2.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	136 	2.0 	0.035083
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	136 	2.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	136 	2.0 	0.0133
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	136 	2.0 	0.124816
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	136 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	136 	2.0 	-0.0
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	136 	2.0 	0.031203
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	136 	2.0 	0.754452
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	136 	2.0 	0.032898
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	136 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	136 	2.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	136 	2.0 	-0.0
ABMODEL_GROUP 	srb 	136 	2.0 	-0.0
ABMODEL_GROUP 	sulfox 	136 	2.0 	0.188917
ABMODEL_GROUP 	amo 	136 	2.0 	0.0133
ABMODEL_GROUP 	methox 	136 	2.0 	0.754452
ABMODEL_GROUP 	feo 	136 	2.0 	0.008248
ABMODEL_GROUP 	methanogens 	136 	2.0 	-0.0
ABMODEL_GROUP 	anme 	136 	2.0 	0.035083
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	137 	2.0 	0.008524
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	137 	2.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	137 	2.0 	0.03627
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	137 	2.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	137 	2.0 	0.01375
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	137 	2.0 	0.129051
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	137 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	137 	2.0 	-0.0
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	137 	2.0 	0.032262
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	137 	2.0 	0.746132
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	137 	2.0 	0.034011
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	137 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	137 	2.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	137 	2.0 	-0.0
ABMODEL_GROUP 	srb 	137 	2.0 	-0.0
ABMODEL_GROUP 	sulfox 	137 	2.0 	0.195324
ABMODEL_GROUP 	amo 	137 	2.0 	0.01375
ABMODEL_GROUP 	methox 	137 	2.0 	0.746132
ABMODEL_GROUP 	feo 	137 	2.0 	0.008524
ABMODEL_GROUP 	methanogens 	137 	2.0 	-0.0
ABMODEL_GROUP 	anme 	137 	2.0 	0.03627
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	138 	2.0 	0.00852
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	138 	2.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	138 	2.0 	0.036269
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	138 	2.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	138 	2.0 	0.01375
