CONSENTRATIONS	step	temp	pH	H2S(aq)	HS-	Methane(aq)	Fe++	H2(aq)	NO3-	O2(aq)	NH4+	SO4--	MgSO4(aq)	CaSO4(aq)	KSO4-	HCO3-	MgHCO3+	NaHCO3(aq)	CO2(aq)
CONSENTRATIONS	0	229.0	4.69	0.0004629	6.134e-06	0.0054	2.563e-06	1e-05	9.9996036e-15	7.9e-15	3.3003e-05	1.00003e-14	0	4.103e-15	1.214e-15	0.0004703	0	0	0.1729
CONSENTRATIONS	1	22.8	5.336	4.137e-05	1.267e-06	0.0004909	6.198e-07	9.091e-07	1.0910001547e-05	0.000290878	3.0001968e-06	0.0253593539425	0	0.001513	0.0003736	0.002108	0	0	0.01574
CONSENTRATIONS	2	12.4	5.727	2.027e-05	1.053e-06	0.0002455	3.101e-07	4.545e-07	1.14500005272e-05	0.000305414	1.5001135e-06	0.026628518054	0	0.001449	0.0003586	0.002159	0	0	0.007884
CONSENTRATIONS	3	8.7	5.954	1.278e-05	9.698e-07	0.0001584	2e-07	2.933e-07	1.16500002933e-05	0.000310549	9.6769335e-07	0.0270823081302	0	0.001428	0.0003538	0.002176	0	0	0.005097
CONSENTRATIONS	4	6.8	6.117	8.977e-06	9.168e-07	0.0001139	1.438e-07	2.109e-07	1.17500001953e-05	0.000313235	6.960844e-07	0.0273089375831	0	0.001417	0.0003516	0.002185	0	0	0.003674
CONSENTRATIONS	5	5.7	6.246	6.684e-06	8.752e-07	8.703e-05	1.099e-07	1.612e-07	1.18100001425e-05	0.000314815	5.3177933e-07	0.0274514459591	0	0.001411	0.0003502	0.002191	0	0	0.002814
CONSENTRATIONS	6	4.9	6.353	5.163e-06	8.389e-07	6.909e-05	8.721e-08	1.279e-07	1.18500001097e-05	0.000315842	4.2227603e-07	0.0275454893448	0	0.001406	0.0003493	0.002194	0	0	0.00224
CONSENTRATIONS	7	4.4	6.447	4.088e-06	8.052e-07	5.633e-05	7.109e-08	1.043e-07	1.18700000876e-05	0.000316632	3.4417368e-07	0.0276118511354	0	0.001403	0.0003487	0.002196	0	0	0.001832
CONSENTRATIONS	8	4.0	6.531	3.294e-06	7.729e-07	4.681e-05	5.908e-08	8.669e-08	1.19000000718e-05	0.000317185	2.8607189e-07	0.0276594238287	0	0.001401	0.0003483	0.002198	0	0	0.001528
CONSENTRATIONS	9	3.7	6.607	2.688e-06	7.414e-07	3.948e-05	4.982e-08	7.31e-08	1.191000006e-05	0.00031758	2.4127046e-07	0.0276970033238	0	0.001399	0.0003479	0.002199	0	0	0.001293
