"T"	"P"	"rho"	"logK"	"G"	"H"	"S"	"V"	"Cp"	"info"
274	50	1.0024	50.3379	-264055.0886	-269329.3904	-19.9757	-18.8336	-313.8909	"1H2(aq)+0.5O2(aq)->H2O"
275	50	1.0024	50.1509	-264034.5216	-269652.3613	-21.1523	-19.0553	-306.0899	"1H2(aq)+0.5O2(aq)->H2O"
276	50	1.0024	49.9651	-264012.7955	-269967.0134	-22.2944	-19.2677	-298.7683	"1H2(aq)+0.5O2(aq)->H2O"
277	50	1.0024	49.7804	-263989.9436	-270273.8665	-23.4042	-19.4715	-291.8882	"1H2(aq)+0.5O2(aq)->H2O"
278	50	1.0024	49.5969	-263965.9972	-270573.3984	-24.4836	-19.6671	-285.4151	"1H2(aq)+0.5O2(aq)->H2O"
279	50	1.0024	49.4144	-263940.9858	-270866.0492	-25.5344	-19.8551	-279.3182	"1H2(aq)+0.5O2(aq)->H2O"
280	50	1.0023	49.2331	-263914.9373	-271152.2249	-26.5583	-20.0359	-273.5694	"1H2(aq)+0.5O2(aq)->H2O"
281	50	1.0022	49.0528	-263887.8776	-271432.301	-27.5568	-20.2098	-268.1433	"1H2(aq)+0.5O2(aq)->H2O"
282	50	1.0022	48.8737	-263859.8316	-271706.6249	-28.5313	-20.3773	-263.0168	"1H2(aq)+0.5O2(aq)->H2O"
283	50	1.0021	48.6956	-263830.8225	-271975.5189	-29.4832	-20.5387	-258.1689	"1H2(aq)+0.5O2(aq)->H2O"
284	50	1.002	48.5187	-263800.8724	-272239.2821	-30.4136	-20.6944	-253.5804	"1H2(aq)+0.5O2(aq)->H2O"
285	50	1.0019	48.3428	-263770.0022	-272498.193	-31.3236	-20.8445	-249.2337	"1H2(aq)+0.5O2(aq)->H2O"
286	50	1.0017	48.1679	-263738.2316	-272752.5106	-32.2144	-20.9895	-245.1127	"1H2(aq)+0.5O2(aq)->H2O"
287	50	1.0016	47.9942	-263705.5794	-273002.4766	-33.0869	-21.1296	-241.2028	"1H2(aq)+0.5O2(aq)->H2O"
288	50	1.0014	47.8214	-263672.0635	-273248.3168	-33.942	-21.265	-237.4902	"1H2(aq)+0.5O2(aq)->H2O"
289	50	1.0013	47.6498	-263637.7009	-273490.2419	-34.7806	-21.396	-233.9627	"1H2(aq)+0.5O2(aq)->H2O"
290	50	1.0011	47.4791	-263602.5076	-273728.4494	-35.6034	-21.5227	-230.6086	"1H2(aq)+0.5O2(aq)->H2O"
291	50	1.0009	47.3095	-263566.4991	-273963.1243	-36.4112	-21.6454	-227.4174	"1H2(aq)+0.5O2(aq)->H2O"
292	50	1.0007	47.1409	-263529.6899	-274194.4398	-37.2048	-21.7642	-224.3791	"1H2(aq)+0.5O2(aq)->H2O"
293	50	1.0005	46.9733	-263492.0941	-274422.5589	-37.9847	-21.8794	-221.4848	"1H2(aq)+0.5O2(aq)->H2O"
294	50	1.0003	46.8067	-263453.7249	-274647.6345	-38.7515	-21.9911	-218.7259	"1H2(aq)+0.5O2(aq)->H2O"
295	50	1	46.6411	-263414.5952	-274869.8106	-39.506	-22.0994	-216.0947	"1H2(aq)+0.5O2(aq)->H2O"
